m,y,d,t
Apr.,05,14,54.5F
Nov.,08,1,44.5F
Jun.,18,20,69.8F
Mar.,09,19,43.2F
Sep.,06,11,-177.9F
Aug.,06,28,58.1F
Jul.,16,19,75.6F
Feb.,97,28,50.8F
Jan.,99,4,51.4F
Mar.,18,3,32.7F
May,01,17,55.3F
May,99,13,55.2F
Aug.,19,26,74.9F
Aug.,97,19,71.1F
Sep.,01,22,52.1F
Aug.,12,18,79.7F
Aug.,00,17,64.6F
May,00,25,152.6F
Mar.,12,20,46.1F
Feb.,02,6,45.4F
Apr.,13,7,41.3F
Jan.,10,26,25.9F
May,13,17,47.1F
Jun.,02,29,58.6F
Sep.,17,2,NA
Sep.,19,11,59.9F
Dec.,09,29,32.6F
Jan.,15,27,38.7F
Jun.,99,24,59F
Aug.,19,23,66.9F
Nov.,03,17,43.8F
Jun.,17,30,63.3F
Jan.,98,7,50F
Sep.,98,22,55.8F
Aug.,02,13,67F
Jul.,06,8,66F
Feb.,06,2,26.3F
Jan.,16,22,35.4F
Nov.,07,26,41.7F
Jul.,18,21,70F
Dec.,16,28,34.4F
Feb.,14,19,45.1F
Aug.,95,21,69.1F
Oct.,04,14,53.9F
May,11,22,61.2F
Nov.,12,27,44.3F
Nov.,11,15,36.2F
Jun.,96,24,52.9F
Jun.,13,30,60.8F
Nov.,15,7,NA
May,09,1,58.7F
Aug.,99,3,68.4F
Jun.,15,20,56.7F
Jul.,19,16,59.8F
Oct.,05,2,53.4F
Jan.,08,4,40.1F
Jul.,14,8,57.8F
Jun.,99,7,56.8F
Jul.,99,4,68F
Jul.,10,9,78.3F
Nov.,03,6,-182.4F
Jun.,99,1,62.3F
Dec.,05,29,26.8F
Jan.,16,17,31.8F
Oct.,95,25,58.6F
Nov.,96,14,192F
Dec.,10,9,35.3F
Jun.,03,30,64.5F
Aug.,08,31,69.5F
Nov.,03,24,53.5F
Mar.,14,9,53.3F
May,95,21,50.4F
Jul.,01,15,58.9F
Nov.,13,18,40F
May,99,31,57.7F
May,11,14,54.3F
Aug.,06,26,60.2F
May,17,13,57.9F
Apr.,96,8,47.6F
Oct.,05,29,64.5F
Jul.,01,16,60.7F
Nov.,99,17,38.3F
Aug.,05,22,64.2F
May,99,10,-182.7F
Mar.,15,11,40.3F
Apr.,17,16,46.9F
Dec.,07,30,42.6F
Oct.,02,22,57.5F
Oct.,97,18,57.8F
Feb.,96,22,28.9F
Sep.,12,23,51.3F
Oct.,97,21,NA
Feb.,06,27,NA
Aug.,09,13,NA
Sep.,01,25,NA
May,04,4,48.9F
Mar.,03,5,52.7F
Oct.,09,23,50F
Aug.,09,8,65.7F
Sep.,95,25,55.8F
Feb.,18,6,NA
Jun.,17,20,75.2F
Dec.,00,10,50.2F
Jan.,11,4,31.4F
Jun.,00,23,59.8F
Dec.,02,11,25.4F
Jul.,99,15,63.2F
Aug.,98,19,62.1F
May,07,8,55.4F
May,09,29,61.1F
Feb.,01,23,37F
Jan.,99,9,NA
Jan.,03,1,43.4F
Feb.,03,21,-183F
Mar.,95,12,47.9F
Feb.,04,15,43F
Apr.,11,9,50.9F
Sep.,99,30,58.5F
Jun.,05,4,57.8F
Oct.,04,6,NA
Oct.,08,7,59.2F
Nov.,95,8,49.9F
Jan.,19,17,38.7F
Nov.,03,12,42.5F
Feb.,06,7,NA
Aug.,11,29,57.2F
Dec.,14,7,37.5F
Aug.,05,7,177.6F
May,19,23,-170.8F
Sep.,15,23,54F
Jun.,18,9,66.5F
Apr.,16,13,48.5F
May,18,29,68.9F
Aug.,99,2,74.9F
May,19,22,NA
Jul.,13,29,67.1F
May,97,23,51F
Dec.,00,16,37.3F
Jan.,06,12,171.5F
Jul.,09,8,58.8F
Jan.,02,18,41.1F
May,07,30,55.9F
Jun.,19,26,68.1F
Jul.,98,31,60.8F
Apr.,20,20,55.2F
Oct.,04,30,48.8F
Jul.,17,15,63.5F
May,01,3,57.5F
Nov.,99,18,NA
Dec.,16,2,44F
Apr.,98,23,60.4F
Apr.,08,25,52.4F
Feb.,12,11,-162.6F
Jul.,16,16,65.9F
Jun.,09,28,68.7F
Jan.,02,6,34.2F
Mar.,96,25,46.5F
Jan.,99,8,43.4F
Jun.,05,6,-168.8F
Feb.,11,17,170.1F
Aug.,06,17,66.1F
Apr.,11,15,51.9F
Jan.,13,16,20.5F
Jun.,19,16,61.4F
Jan.,00,23,36.8F
May,10,29,57.1F
Jul.,04,31,69.5F
Dec.,19,7,48F
Jun.,96,7,NA
Feb.,99,14,28.1F
Jun.,06,18,69.9F
Jul.,13,11,59.2F
Jan.,12,6,NA
Jul.,06,21,77.2F
Sep.,10,9,60.4F
Feb.,08,17,34.1F
Jul.,97,10,62.5F
Feb.,95,21,45.4F
Oct.,02,8,-198.9F
Aug.,96,1,63.3F
Nov.,17,3,48.6F
Apr.,08,10,43.4F
Oct.,15,7,155.1F
Aug.,00,11,66.1F
Sep.,14,27,61.8F
Apr.,20,14,43.6F
Dec.,14,29,34.2F
Aug.,01,9,59.9F
May,05,19,56.6F
Feb.,03,15,28.9F
Jan.,07,15,42.2F
Oct.,18,19,53.3F
Dec.,19,21,45.6F
Aug.,95,29,55.3F
Nov.,95,26,50.7F
Feb.,07,8,35.3F
Jul.,08,13,57.3F
Jul.,03,26,-174.4F
Jun.,04,6,60.5F
Jul.,05,16,69F
Jun.,04,4,58.1F
Nov.,97,18,42.5F
Jul.,00,15,55.6F
Nov.,01,10,34.5F
Jul.,14,7,62.6F
Jan.,98,18,40.8F
Nov.,11,21,34.7F
Jul.,16,25,67.5F
Apr.,09,15,60.9F
Jan.,02,2,26.5F
Feb.,13,24,30.6F
Nov.,99,24,45.9F
Dec.,01,7,34.9F
Jun.,14,14,60.9F
Aug.,11,25,65.6F
Aug.,98,31,58F
Nov.,01,17,42.3F
Nov.,14,25,39.2F
Jul.,18,30,74.1F
Jan.,97,25,34.2F
Feb.,04,22,34.8F
Jun.,11,21,64F
Sep.,97,20,51.5F
May,97,9,49.9F
Apr.,05,8,43.3F
Apr.,07,29,62.8F
Jul.,03,24,66.4F
Jul.,97,30,69.1F
Oct.,18,3,55.6F
May,06,4,198.1F
Oct.,01,5,NA
Oct.,99,8,54.7F
Jul.,18,16,72.9F
Oct.,02,14,52.6F
Apr.,01,30,55F
May,11,25,59.8F
Feb.,03,4,36.1F
Dec.,01,19,39.1F
Mar.,99,16,44.7F
Apr.,02,26,47.3F
Dec.,12,8,31.1F
Jan.,99,21,46.8F
Nov.,05,3,60.6F
May,01,20,54.4F
Jul.,01,1,66.5F
Nov.,05,9,49.2F
Mar.,18,16,45.5F
Aug.,11,30,55.8F
Feb.,14,23,45.4F
Dec.,96,5,41.9F
Sep.,96,27,58.4F
Dec.,11,9,43.8F
Mar.,19,13,43.8F
Jan.,01,16,27.7F
Mar.,08,17,41.3F
Dec.,08,11,36.2F
May,18,2,NA
Jul.,12,12,59.1F
May,06,14,56.1F
Jan.,00,19,39.5F
Dec.,12,6,33F
Dec.,95,7,28.8F
Oct.,11,19,NA
Apr.,06,19,-187.2F
Dec.,18,22,49.9F
Aug.,16,7,66.5F
Feb.,04,28,32.4F
Jul.,19,5,66.2F
Sep.,10,20,59F
Jan.,12,29,31.6F
Mar.,07,23,40.1F
Feb.,06,8,41.4F
Jan.,08,3,31.4F
Jan.,96,12,49.2F
Sep.,08,30,53.2F
Oct.,11,23,49.3F
Dec.,96,14,32.2F
Mar.,10,30,49.1F
Jul.,96,6,55.7F
Oct.,97,3,55.2F
Dec.,06,21,41.2F
Jun.,95,15,51.2F
Jul.,19,10,63.7F
Feb.,07,21,46.5F
May,16,1,47F
Mar.,11,15,51.5F
Aug.,99,4,69.2F
Feb.,15,18,33.4F
Feb.,16,7,-157.8F
Nov.,19,15,NA
Oct.,98,28,56F
Apr.,14,3,59.2F
Mar.,06,19,34.2F
Jun.,11,15,65.7F
Mar.,03,7,43.8F
Dec.,12,30,45.2F
Jan.,11,12,44.1F
Apr.,03,16,64.2F
Jan.,96,13,46.5F
Feb.,97,5,40.4F
Mar.,08,10,42.5F
Jun.,95,1,56.7F
Dec.,05,4,46.6F
Feb.,07,1,-191.5F
Oct.,96,12,50.6F
Apr.,13,26,48.7F
May,15,26,53.7F
Dec.,17,1,33.5F
Mar.,98,28,55.4F
Aug.,99,30,64.5F
Mar.,20,14,44.4F
Sep.,13,5,74.8F
Apr.,20,7,56.7F
Feb.,01,25,NA
Mar.,08,1,48.8F
Feb.,10,22,45F
Apr.,04,1,NA
Dec.,03,12,42F
Feb.,11,15,42.3F
Aug.,12,3,63.6F
Oct.,01,2,63.8F
Oct.,12,22,60.9F
Oct.,97,1,65.9F
Mar.,08,30,49F
Jan.,08,6,NA
May,13,19,54.3F
Mar.,95,11,48.8F
Sep.,14,8,59.9F
Jun.,99,2,66.4F
Jul.,97,3,58.1F
Apr.,15,6,41.8F
Jan.,06,29,27.5F
Sep.,99,11,72.8F
Jul.,03,30,66.8F
Apr.,06,13,49.3F
Dec.,11,6,163.2F
May,15,1,46.7F
Aug.,17,23,69.9F
Jul.,95,22,64.4F
Feb.,19,12,NA
Mar.,07,7,47.2F
Oct.,00,28,55.5F
Feb.,17,21,50.3F
Sep.,15,6,54.3F
Sep.,14,9,57.1F
Mar.,12,18,46F
Jun.,12,2,57.4F
Jul.,01,31,69.9F
Nov.,05,20,36.3F
Aug.,98,20,63.4F
Dec.,17,27,41.2F
Oct.,18,14,66F
Oct.,07,6,154.2F
Jul.,98,23,66.7F
Mar.,96,27,NA
Aug.,13,13,59.4F
Oct.,98,6,182.7F
Jan.,17,23,33.5F
Feb.,10,23,38.5F
Mar.,99,6,39.4F
Jan.,99,7,45.9F
Dec.,96,21,30.5F
Sep.,17,26,-176.1F
Feb.,19,21,48.5F
Oct.,00,12,53.7F
Dec.,99,6,-187.4F
May,03,22,57.3F
Feb.,16,20,47F
Jul.,10,30,64.6F
Jan.,95,15,44F
Dec.,09,13,33.9F
Nov.,06,24,51.1F
Nov.,18,1,50.3F
Jun.,03,17,68.2F
Apr.,20,22,58.4F
Feb.,14,21,43.7F
Aug.,97,18,72.8F
Sep.,17,8,59.3F
Jul.,13,4,61.9F
Dec.,15,1,52.5F
Feb.,03,28,49.1F
Aug.,95,12,76F
Apr.,17,1,51.8F
Sep.,10,12,59.6F
Feb.,00,20,36.7F
May,12,16,46.7F
May,09,2,54.3F
Sep.,10,28,53.7F
Aug.,08,12,62.8F
Oct.,17,24,59.2F
Jan.,96,16,40.8F
Feb.,01,27,35.9F
Aug.,14,10,65.3F
Oct.,98,18,46.7F
May,98,3,48.5F
Jul.,10,18,62.9F
Apr.,04,17,-173.5F
Jul.,05,2,63.7F
Sep.,19,15,-159.6F
Sep.,16,10,67.6F
Oct.,12,31,46.7F
Dec.,04,8,41.5F
Mar.,11,10,-165.7F
Dec.,99,19,33.3F
Apr.,98,16,NA
Mar.,19,11,41.4F
Nov.,02,10,46.3F
Feb.,18,12,36F
Oct.,14,14,54.6F
Oct.,95,6,161.3F
Oct.,02,16,53.6F
Jun.,10,20,51.4F
Jul.,99,23,59.1F
Dec.,01,12,38.5F
Apr.,97,15,43.9F
May,08,24,60.5F
Jun.,99,10,58.6F
Jan.,13,26,28.6F
Nov.,11,3,60.5F
Oct.,09,20,46.9F
Feb.,20,22,46.2F
Jun.,95,4,55F
May,18,9,64F
Dec.,01,23,24.9F
Aug.,15,15,62.2F
Aug.,17,12,61.3F
Jan.,08,26,44.1F
Dec.,16,18,43.5F
Mar.,18,13,42.8F
Mar.,09,21,41.4F
Jul.,19,18,66.1F
May,02,4,46.6F
Oct.,14,15,55.5F
Oct.,03,2,58.8F
Sep.,19,16,61.3F
Apr.,12,22,46.4F
Apr.,95,28,46.3F
Dec.,97,27,43.7F
Dec.,99,5,NA
Jun.,96,26,60.6F
Jul.,99,17,68F
Oct.,19,1,60.2F
May,13,6,58F
Mar.,08,15,51F
Nov.,01,12,48.4F
Jan.,07,1,46.3F
Aug.,15,16,NA
Jul.,08,30,72.4F
Feb.,97,22,49.6F
Dec.,03,6,38.5F
Nov.,05,29,36.5F
Dec.,07,24,36.7F
Oct.,01,28,53.3F
Jun.,96,2,55.9F
Dec.,11,19,35.1F
Apr.,96,14,45.9F
Sep.,19,24,59.1F
May,17,21,57.7F
Feb.,12,25,45.2F
Feb.,00,2,44F
Apr.,14,13,49.9F
Nov.,16,16,54F
Oct.,01,17,57.4F
Mar.,19,24,45.8F
Nov.,08,17,42.1F
Sep.,96,14,-199.8F
Oct.,02,19,44.6F
Aug.,10,8,62.8F
Oct.,13,15,NA
Feb.,12,17,42.7F
Jun.,13,29,58.5F
Feb.,03,9,42.9F
May,14,28,55.8F
Mar.,98,8,43.3F
Dec.,19,5,33.5F
Aug.,06,5,66.4F
Oct.,95,20,53.3F
May,96,22,52.4F
Jan.,13,30,52.3F
May,19,13,NA
Feb.,01,8,49.7F
Apr.,99,14,37.9F
Apr.,14,27,NA
Sep.,95,24,56.5F
Jul.,11,4,-193.5F
Oct.,12,14,45.1F
Oct.,07,16,57.6F
Nov.,00,24,45.1F
May,18,14,56.1F
May,06,28,56.3F
Oct.,08,20,55.6F
Jul.,11,25,167.1F
Feb.,96,25,47.2F
Aug.,06,2,62.4F
Aug.,03,21,64.8F
May,03,16,53.7F
Dec.,10,8,30F
Nov.,14,13,46.8F
Apr.,01,23,47.8F
Dec.,04,24,48.8F
Aug.,01,18,70.6F
Oct.,98,19,44.2F
May,10,16,53.8F
Dec.,07,15,33.2F
Feb.,98,13,52.9F
Jun.,04,11,61.4F
Dec.,06,25,35.5F
Jun.,04,19,-152.8F
Jun.,09,4,52.1F
Sep.,08,29,51.4F
Jan.,98,10,47F
Jul.,16,17,68.7F
Feb.,06,13,35.4F
Feb.,02,1,51.5F
Mar.,00,21,44.3F
Jan.,03,19,41.9F
Apr.,97,25,51.3F
Feb.,98,24,48.8F
Nov.,11,4,59.5F
Feb.,97,10,46.6F
Jul.,95,21,NA
Dec.,95,12,35.4F
Aug.,00,24,63.8F
Jul.,96,24,60.9F
Nov.,18,26,NA
Nov.,07,11,47.7F
Jul.,18,19,68.1F
Mar.,06,13,NA
Apr.,12,20,45.4F
Feb.,20,28,39.6F
Nov.,99,21,29.4F
Apr.,04,18,NA
Dec.,07,10,44.9F
Oct.,97,12,49.9F
Apr.,13,9,-164.2F
Aug.,02,27,66.8F
Nov.,15,13,53F
Oct.,19,31,39.3F
Feb.,00,9,43.9F
Jan.,09,9,16.9F
Jan.,05,18,41.8F
Aug.,04,4,72.5F
Oct.,10,15,50.5F
Aug.,17,17,160.1F
Dec.,01,26,34.9F
Nov.,01,7,189.4F
Apr.,12,30,58.7F
Feb.,05,4,41.2F
Jul.,16,3,58.7F
Nov.,98,16,NA
Jun.,19,25,78.1F
Jun.,00,21,69.6F
Feb.,04,8,40.6F
Aug.,06,8,62.3F
Aug.,11,5,63.9F
Aug.,14,18,58.4F
Mar.,97,18,NA
Apr.,05,29,58.5F
May,15,10,57F
Jul.,99,18,NA
Nov.,01,29,47.4F
Oct.,04,4,62F
Apr.,01,15,47.1F
Jun.,07,6,64.8F
Sep.,02,4,60.3F
Apr.,02,5,51.3F
Jun.,12,9,54.9F
May,18,17,53.4F
Aug.,96,19,184.1F
Apr.,99,7,49.6F
Aug.,06,9,58.9F
Jul.,10,25,63.2F
Jun.,18,16,62.1F
Aug.,00,9,65.7F
Sep.,01,30,60.7F
Aug.,10,28,57.9F
May,19,1,49.7F
Oct.,13,17,55.4F
Sep.,95,16,56.7F
Apr.,05,10,46.3F
Nov.,12,10,50.6F
Mar.,08,22,37.1F
Jul.,06,2,74F
May,18,5,59.5F
May,95,6,65.3F
Apr.,96,15,167.8F
Jul.,98,12,63.5F
Dec.,99,15,32.1F
Oct.,03,14,47.9F
Dec.,12,24,51.5F
Dec.,09,8,44.5F
Jul.,04,5,61.2F
Jul.,04,18,65.7F
Jan.,03,11,25.3F
Mar.,03,21,NA
Aug.,09,16,65.9F
May,03,2,56.4F
Mar.,19,15,50.1F
Feb.,13,8,33.6F
Sep.,16,15,174.9F
May,12,2,50.5F
Mar.,02,13,43.6F
Jan.,07,13,51.5F
Dec.,11,3,46.3F
Aug.,95,26,64.4F
Jan.,01,19,32.5F
Feb.,96,7,28F
Mar.,95,3,39.1F
Jan.,00,18,-154.4F
May,17,26,68.4F
May,07,19,188F
Nov.,15,15,56.4F
Mar.,14,20,57.3F
Jun.,97,9,150.7F
Mar.,98,20,NA
Apr.,96,7,44.9F
Apr.,02,20,47.9F
Jan.,07,27,40.3F
May,10,21,57.4F
Jan.,08,27,44.2F
Feb.,09,7,37.3F
May,13,1,52.5F
Jul.,04,23,67.8F
Jun.,12,27,66.8F
Aug.,07,15,69.9F
Mar.,98,3,51.7F
Feb.,14,17,44.2F
Jul.,08,15,61.4F
Sep.,09,25,54.4F
Oct.,11,20,43.3F
Mar.,10,25,57.6F
Jan.,17,10,40.9F
May,99,18,56.6F
May,06,9,57.6F
Feb.,99,25,37.4F
Feb.,16,15,35.6F
Jul.,10,14,69.8F
Aug.,99,1,195F
Feb.,18,10,37.3F
Jul.,01,29,69.8F
Oct.,17,8,54F
Apr.,95,22,49.8F
Jan.,09,29,30.7F
Oct.,01,13,65.2F
Sep.,98,23,56.6F
Nov.,00,17,40.8F
Jan.,95,13,37.6F
Sep.,04,30,56.7F
Mar.,14,16,51.2F
Dec.,16,17,41.2F
Jul.,08,25,-191F
Nov.,05,5,49F
Jun.,99,18,58.2F
Nov.,96,2,56.4F
Apr.,97,21,41.1F
May,00,14,NA
Jan.,96,30,28.5F
Jul.,03,19,74.8F
Dec.,06,23,38.3F
Jun.,15,11,65.1F
Mar.,02,15,45.3F
Dec.,03,31,35.1F
Mar.,09,18,43.8F
Aug.,04,23,65.1F
Mar.,05,9,40.9F
Sep.,98,24,60.5F
Sep.,04,13,59.4F
Jul.,19,3,59.9F
Feb.,09,13,NA
Jul.,14,13,60.6F
Sep.,95,5,58.6F
Aug.,15,21,NA
May,12,29,64F
Nov.,06,4,NA
Jun.,07,17,NA
Jul.,15,20,67.3F
Nov.,99,6,170.5F
Jun.,14,9,NA
Jan.,99,19,46F
Oct.,04,18,49.8F
Jan.,95,27,37.3F
Aug.,98,28,54.4F
Jan.,02,21,50.8F
Jul.,00,9,56.2F
May,97,26,55.5F
Jul.,12,21,NA
Apr.,16,15,52.7F
Apr.,04,27,61.3F
Dec.,09,22,33.7F
Nov.,00,1,46.9F
Aug.,99,7,-171.3F
Jul.,18,15,71.7F
May,11,17,-170.7F
Nov.,10,22,39.1F
Aug.,08,17,61.7F
Jan.,01,29,38.4F
Oct.,96,31,48.5F
Apr.,18,18,64.2F
Mar.,03,9,NA
Feb.,12,8,23F
Dec.,17,25,43.5F
Nov.,99,15,34F
Jul.,98,16,58.9F
May,04,14,52.5F
Dec.,16,1,39F
May,16,9,NA
Apr.,20,3,46F
Nov.,18,13,NA
Feb.,97,9,48.9F
Apr.,14,2,59F
Apr.,10,15,188.5F
Sep.,02,28,53.3F
Apr.,96,6,NA
May,03,9,55.4F
Aug.,01,14,174.9F
Sep.,99,8,66.8F
Mar.,18,20,36.5F
Dec.,97,12,46.7F
Aug.,95,19,74.8F
Mar.,14,11,48F
Oct.,04,5,58.3F
Dec.,10,6,30.6F
Mar.,14,31,59.4F
Oct.,06,27,NA
Jul.,11,7,63.8F
Dec.,18,15,32.5F
Mar.,13,14,31F
Jan.,20,29,41.1F
Feb.,15,2,34.9F
Jul.,01,8,62.1F
Nov.,10,24,NA
Sep.,95,2,58.2F
Apr.,99,25,53.5F
Apr.,10,1,NA
Feb.,06,22,35.8F
Aug.,10,11,65.2F
Apr.,14,5,53.7F
Sep.,02,27,55.5F
Dec.,97,5,33.3F
May,96,5,42.8F
Jan.,19,12,44.2F
Jan.,19,27,41.4F
May,97,3,65.9F
Nov.,17,7,37.2F
Jun.,09,15,58.6F
Oct.,05,1,57.7F
Oct.,08,17,47.1F
May,13,14,163.6F
Aug.,98,14,65.6F
Mar.,99,7,NA
Jun.,98,8,60.1F
Apr.,20,10,56.8F
Feb.,05,8,37.5F
Nov.,01,11,39.8F
Nov.,04,12,39.9F
Jun.,08,16,54F
Aug.,05,13,61.8F
Nov.,16,12,-190.3F
Jun.,97,29,57.3F
Aug.,05,29,68.1F
Sep.,06,3,68.1F
Mar.,18,14,46.2F
Nov.,02,16,43.9F
Jul.,18,1,72.1F
Mar.,96,5,38.5F
Aug.,07,20,60.2F
Feb.,12,27,41.8F
Aug.,09,30,59.6F
Aug.,02,20,65.9F
Dec.,14,23,50.3F
May,03,26,58.8F
Jan.,19,2,40.6F
Feb.,08,8,43.9F
Jun.,16,9,60.6F
Mar.,14,5,43F
Jul.,04,1,61.9F
Dec.,97,26,46.8F
Aug.,15,22,72.2F
Feb.,15,26,44F
Jun.,98,25,65F
Apr.,10,28,62.2F
Aug.,17,15,64.4F
Feb.,04,5,56.6F
Jul.,19,7,NA
Aug.,04,7,70.2F
Dec.,19,11,42F
Sep.,96,4,57F
May,08,25,64.1F
Mar.,95,18,46.2F
Jul.,97,16,64.1F
Mar.,01,11,54.4F
Apr.,00,21,57.4F
Dec.,96,24,23.4F
Oct.,05,19,55.9F
Aug.,14,12,59.6F
Jun.,96,10,69.7F
May,09,27,NA
Mar.,98,10,NA
Apr.,17,9,56.8F
Jun.,15,25,65.3F
Mar.,11,24,51F
Jun.,10,21,54.5F
Jul.,00,25,59F
Jan.,08,13,42.8F
Apr.,09,16,55.2F
Jun.,03,15,64.6F
Jun.,14,28,59.1F
Mar.,96,15,39.6F
Jan.,06,24,27.8F
Mar.,05,19,NA
Aug.,01,3,-187.9F
Nov.,13,7,53F
Feb.,06,23,32.2F
Apr.,13,14,62.5F
Aug.,17,2,64.5F
Nov.,10,16,-150.4F
Sep.,97,3,63F
Feb.,16,28,35.6F
Feb.,19,13,38.8F
May,16,26,59.8F
Aug.,08,29,63F
Aug.,01,15,77.1F
May,02,20,62F
Apr.,12,17,40.6F
Apr.,07,30,58F
Jan.,17,27,35.2F
Feb.,01,9,40F
Jun.,13,11,59.7F
Jan.,97,9,21.8F
Jul.,18,24,76.6F
Aug.,08,25,63.6F
Apr.,10,4,45.7F
Feb.,99,24,35.7F
Oct.,15,20,48.1F
Jan.,20,2,NA
Mar.,20,23,41.6F
Feb.,96,28,-186F
Oct.,15,31,49.7F
May,02,30,57F
May,14,25,60.1F
Nov.,18,18,35.9F
Dec.,08,10,36.2F
Feb.,99,15,159F
Oct.,03,27,36F
Jan.,06,23,30.1F
Mar.,00,3,43.6F
Jul.,12,13,59F
May,98,12,75.7F
Jun.,96,29,55.7F
Nov.,06,16,58.3F
Oct.,99,21,45.9F
Nov.,17,17,43.7F
Jan.,20,7,44.4F
Feb.,07,26,44.2F
Mar.,00,24,51.2F
Nov.,11,1,54.9F
Mar.,15,26,39.6F
Nov.,10,5,56.1F
Jun.,18,27,66.8F
Oct.,95,3,159.2F
May,19,14,50.4F
Jan.,96,31,28.5F
Jan.,01,8,38.7F
Aug.,11,11,65.9F
Jan.,02,25,42.8F
Jun.,02,22,67.6F
Mar.,13,19,40.5F
Apr.,16,7,45F
Mar.,17,2,44.9F
Jun.,03,29,68F
Sep.,05,6,68.8F
Mar.,17,24,47.3F
Oct.,15,23,51.7F
Sep.,08,23,54.1F
Dec.,98,20,37.9F
Jan.,06,11,37.8F
May,16,29,61F
Jun.,18,28,69.8F
Aug.,02,30,64.2F
Aug.,07,9,57.5F
Jan.,19,4,38.4F
Nov.,18,25,37.9F
Sep.,19,25,58.8F
Nov.,13,15,41.6F
Dec.,05,28,27.6F
Feb.,08,26,50.6F
Apr.,98,10,45.3F
Jul.,00,5,188.7F
Sep.,08,21,52F
Apr.,08,17,42.5F
Sep.,16,9,NA
Jan.,08,15,46.9F
Jun.,99,19,61.6F
Jun.,17,14,65.9F
Mar.,96,23,50.8F
Dec.,16,21,39.2F
Jun.,08,12,52.1F
Sep.,19,3,60.6F
Feb.,07,5,36.4F
Jan.,01,7,NA
Jul.,06,19,81.8F
Jan.,98,28,29.6F
May,19,6,44.6F
Jul.,18,9,66.2F
Mar.,97,8,50.2F
Mar.,02,14,37.9F
May,11,20,NA
Sep.,06,4,65.3F
Feb.,16,12,37.2F
Feb.,18,26,24.9F
Mar.,05,30,52.3F
Apr.,11,3,52.9F
Oct.,95,31,42.3F
May,11,19,57.5F
Oct.,18,25,172.1F
Sep.,18,26,52.7F
Feb.,17,10,29.4F
Nov.,95,1,-171.3F
Oct.,01,18,60.2F
Jun.,12,30,65.8F
Feb.,95,28,48.8F
Mar.,20,20,44.7F
Aug.,11,28,NA
Aug.,08,1,68.3F
Jan.,07,31,44.2F
Nov.,95,28,43.6F
Nov.,07,25,44F
Jun.,08,8,61.9F
Oct.,08,4,47.8F
Nov.,18,29,51.4F
Apr.,09,10,63.4F
Apr.,07,4,43.2F
Jun.,99,16,67F
Feb.,18,16,39.1F
Sep.,05,15,64.9F
Oct.,06,7,54.9F
Jul.,97,27,64.7F
Mar.,13,21,35.4F
Sep.,95,19,61.3F
Dec.,07,19,28.7F
Sep.,04,21,57.5F
Jan.,16,2,46.2F
Jul.,08,20,58F
Sep.,13,3,65.2F
Jul.,11,14,55.2F
Feb.,14,26,44.4F
Feb.,10,8,33.2F
Jul.,99,22,58.4F
Apr.,03,19,45.1F
Feb.,11,16,43.3F
Dec.,08,28,26.8F
Oct.,96,4,53.9F
Aug.,95,17,70.3F
Aug.,00,19,66.3F
Mar.,19,12,44.6F
Feb.,12,23,NA
Nov.,16,27,40.6F
Oct.,05,28,63.2F
Aug.,95,10,70.3F
Feb.,17,18,44.1F
Dec.,16,31,28.1F
Dec.,04,19,35.8F
Jan.,09,5,27.7F
Jan.,07,9,54.9F
Aug.,12,25,64.9F
Feb.,95,18,42.3F
Oct.,02,30,52.2F
Aug.,97,26,66.8F
Oct.,17,13,60F
May,05,9,188.2F
Dec.,99,23,41.5F
Nov.,08,18,45.2F
Jul.,14,10,62.7F
Aug.,05,6,59.4F
Jun.,03,26,66.8F
Jun.,07,23,61.3F
Apr.,07,3,44.1F
Jan.,05,13,41.4F
Mar.,05,25,54F
Apr.,00,19,52.5F
Dec.,15,23,50.3F
May,08,19,-186F
Aug.,04,1,68F
Oct.,18,8,49.5F
Aug.,96,4,63.1F
Dec.,07,4,45.4F
Mar.,13,29,31.3F
Jan.,07,23,28.3F
Jun.,11,24,NA
Jul.,95,28,66.6F
Nov.,17,6,41.5F
Dec.,12,25,49.5F
Mar.,13,7,50.9F
Sep.,09,11,57.6F
Jul.,13,8,NA
Jun.,11,6,NA
Jan.,95,26,47.1F
Jun.,12,23,59F
Aug.,18,7,80F
Oct.,03,20,41.1F
Nov.,08,29,35.6F
Apr.,02,24,174.7F
Jul.,11,28,63.4F
Mar.,16,31,45F
Feb.,14,15,49.7F
Aug.,00,25,63.4F
Oct.,11,7,51.2F
Aug.,95,27,61F
Oct.,00,21,59.8F
Jul.,01,23,188.9F
May,17,20,52.7F
Oct.,13,19,56.6F
Nov.,02,19,44.4F
Apr.,02,22,57.8F
Sep.,17,25,56.7F
Sep.,02,10,58.8F
Sep.,02,2,60.9F
Nov.,09,27,45.6F
Jul.,97,18,60.1F
Jan.,18,5,45.9F
Aug.,13,17,67.9F
Aug.,12,20,72.8F
Apr.,04,4,52.4F
Feb.,13,7,34.6F
Apr.,95,24,NA
Nov.,14,20,40F
Jun.,01,29,68.3F
Feb.,98,27,47.4F
Apr.,09,14,55.9F
Jun.,17,17,66.4F
Sep.,16,7,68.7F
Nov.,08,14,47.2F
May,18,16,59.4F
Jul.,01,9,62.2F
Sep.,13,27,50.8F
Nov.,15,6,59.9F
Sep.,08,8,59.5F
Jan.,13,14,27.3F
Jan.,99,11,29.2F
